"Step","breezy-sweep-4 - train/eps_reward","breezy-sweep-4 - train/eps_reward__MIN","breezy-sweep-4 - train/eps_reward__MAX","major-sweep-7 - train/eps_reward","major-sweep-7 - train/eps_reward__MIN","major-sweep-7 - train/eps_reward__MAX","twilight-sweep-4 - train/eps_reward","twilight-sweep-4 - train/eps_reward__MIN","twilight-sweep-4 - train/eps_reward__MAX","proud-sweep-1 - train/eps_reward","proud-sweep-1 - train/eps_reward__MIN","proud-sweep-1 - train/eps_reward__MAX","exalted-sweep-3 - train/eps_reward","exalted-sweep-3 - train/eps_reward__MIN","exalted-sweep-3 - train/eps_reward__MAX","proud-sweep-6 - train/eps_reward","proud-sweep-6 - train/eps_reward__MIN","proud-sweep-6 - train/eps_reward__MAX","tough-sweep-1 - train/eps_reward","tough-sweep-1 - train/eps_reward__MIN","tough-sweep-1 - train/eps_reward__MAX","warm-sweep-2 - train/eps_reward","warm-sweep-2 - train/eps_reward__MIN","warm-sweep-2 - train/eps_reward__MAX","sleek-sweep-8 - train/eps_reward","sleek-sweep-8 - train/eps_reward__MIN","sleek-sweep-8 - train/eps_reward__MAX"
"108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7075","0.7075","0.7075","0","0","0","0","0","0"
"110","0","0","0","0","0","0","0.6399999999999999","0.6399999999999999","0.6399999999999999","0","0","0","0.2799999999999999","0.2799999999999999","0.2799999999999999","0","0","0","0.8875","0.8875","0.8875","0","0","0","0","0","0"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.82","0.82","0.82","0","0","0"
"116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25750000000000006","0.25750000000000006","0.25750000000000006","0","0","0","0","0","0"
"119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.39249999999999996","0.39249999999999996","0.39249999999999996","0","0","0"
"120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
